,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
407,407,407,397029.35099392576,5938045.895215421,-844.117,146.646,-5.227,53.58114331103505,103.44463194324467,464.773
408,408,408,397026.9339939258,5938046.314215422,-846.534,147.065,-4.138,53.581146601320256,103.44459531109123,465.862
409,409,409,397024.5619939258,5938045.193215421,-848.906,145.944,-4.066,53.58113606316865,103.44455986646452,465.934
410,410,410,397019.08999392577,5938044.6882154215,-854.378,145.439,-4.342,53.58113045124584,103.44447741220154,465.658
411,411,411,397012.5849939258,5938045.189215422,-860.883,145.94,-4.153,53.58113367557354,103.44437902891637,465.847
412,412,412,397005.86199392576,5938043.629215421,-867.606,144.38,-3.808,53.58111833844592,103.44427803416723,466.192
413,413,413,396999.1799939258,5938046.897215421,-874.288,147.648,-4.089,53.58114638998832,103.44417606527806,465.911
414,414,414,396993.2659939258,5938047.289215421,-880.202,148.04,-3.935,53.5811487507477,103.44408664132955,466.065
415,415,415,396999.5559939258,5938040.555215421,-873.912,141.306,-3.37,53.58108947948333,103.44418383533133,466.63
416,416,416,397004.8789939258,5938032.329215421,-868.589,133.08,-3.164,53.58101661227793,103.44426692085334,466.836
417,417,417,397022.1189939258,5938031.400215421,-851.349,132.151,-0.623,53.581011650178866,103.44452753072294,469.377
418,418,418,397047.9839939258,5938034.884215421,-825.484,135.635,3.144,53.5810480324345,103.44491691209814,473.144
419,419,419,397071.5319939258,5938023.561215421,-801.936,124.312,-2.313,53.580950914318876,103.44527619310003,467.687
420,420,420,397096.6039939258,5938013.745215422,-776.864,114.496,-1.74,53.58086763487265,103.44565798613169,468.26
421,421,421,397126.3699939258,5937989.527215421,-747.098,90.278,-0.857,53.58065586944833,103.44611539788757,469.143
422,422,422,397172.0539939258,5937972.028215421,-701.414,72.779,-1.071,53.580507595060965,103.44681093134415,468.929
423,423,423,397200.9779939258,5937963.975215421,-672.49,64.726,1.059,53.580440906636426,103.44725029665997,471.059
424,424,424,397238.6419939258,5937956.525215421,-634.826,57.276,1.736,53.58038134712909,103.4478214238462,471.736
425,425,425,397287.1519939258,5937953.509215421,-586.316,54.26,1.304,53.58036374957373,103.44855484963976,471.304
426,426,426,397331.8339939258,5937943.993215421,-541.634,44.744,2.088,53.58028699406035,103.4492326154855,472.088
427,427,427,397377.5309939258,5937931.411215421,-495.937,32.162,3.361,53.58018288447828,103.44992671200677,473.361
428,428,428,397405.4019939258,5937924.520215421,-468.066,25.271,2.737,53.58012641945094,103.45034978859033,472.737
429,429,429,397432.7459939258,5937918.581215422,-440.722,19.332,3.1,53.58007840383355,103.45076459433591,473.1
430,430,430,397467.2509939258,5937930.971215421,-406.217,31.722,3.56,53.58019647759369,103.45128149870447,473.56
431,431,431,397505.0199939258,5937926.403215421,-368.448,27.154,3.879,53.58016281483016,103.45185325630007,473.879
432,432,432,397544.8649939258,5937904.110215421,-328.603,4.861,4.796,53.57997029094997,103.4524621756067,474.796
433,433,433,397564.9419939258,5937886.001215422,-308.526,-13.248,3.279,53.57981149805408,103.45277125078172,473.279
434,434,434,397585.4459939258,5937859.007215422,-288.022,-40.242,1.612,53.57957295356517,103.45308968579968,471.612
435,435,435,397617.9599939258,5937857.761215421,-255.508,-41.488,6.858,53.57956810545314,103.45358100232836,476.858
